username;password;kv;ls;address;fio;sq;phone
40700101;t4L4qRyt;1;40700101;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 1;Иванов Иван Иванович;48,4;+7 (999) 111 3456
40700201;nHAFF4td;2;40700201;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 2;Иванов Иван Иванович;39,3;7 (999) 111 3456
40700302;4Ckabz7U;3;40700302;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 3;Иванов Иван Иванович;38,1;7 (999) 111 3456
40700401;9APLUNar;4;40700401;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 4;Иванов Иван Иванович;46,3;7 (999) 111 3456
40700501;fvKAF3Uv;5;40700501;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 5;Иванов Иван Иванович;55,4;7 (999) 111 3456
40700602;yYov3tci;6;40700602;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 6;Иванов Иван Иванович;40,6;7 (999) 111 3456
40700701;M7udEqAz;7;40700701;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 7;Иванов Иван Иванович;37,9;7 (999) 111 3456
40700801;7wgHHyeR;8;40700801;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 8;Иванов Иван Иванович;46,4;7 (999) 111 3456
40700901;A4UvdgbL;9;40700901;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 9;Иванов Иван Иванович;55;7 (999) 111 3456
40701001;x3h4imXE;10;40701001;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 10;Иванов Иван Иванович;40,2;7 (999) 111 3456
40701101;mqh47u7L;11;40701101;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 11;Иванов Иван Иванович;38;7 (999) 111 3456
40701203;z4qHLXJT;12;40701203;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 12;Иванов Иван Иванович;47,1;7 (999) 111 3456
40701302;kRmX3pJq;13;40701302;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 13;Иванов Иван Иванович;55,7;7 (999) 111 3456
40701402;h4tN7idA;14;40701402;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 14;Иванов Иван Иванович;39;7 (999) 111 3456
40701501;huau74JC;15;40701501;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 15;Иванов Иван Иванович;38,5;7 (999) 111 3456
40701602;hL3Vt9Ph;16;40701602;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 16;Иванов Иван Иванович;49;7 (999) 111 3456
40701701;hYhzX4nW;17;40701701;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 17;Иванов Иван Иванович;59,9;7 (999) 111 3456
40701803;4mkb9HWW;18;40701803;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 18;Иванов Иван Иванович;39,7;7 (999) 111 3456
40701904;nzj4A937;19;40701904;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 19;Иванов Иван Иванович;38,4;7 (999) 111 3456
40701905;hyRK3qRT;19;40701905;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 19;Иванов Иван Иванович;38,4;7 (999) 111 3456
40702001;jLuxtb7y;20;40702001;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 20;Иванов Иван Иванович;47,3;7 (999) 111 3456
40702101;3KTPH9kK;21;40702101;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 21;Иванов Иван Иванович;58,2;7 (999) 111 3456
40702201;qvJvHkc7;22;40702201;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 22;Иванов Иван Иванович;39,4;7 (999) 111 3456
40702301;HHpEd3Hk;23;40702301;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 23;Иванов Иван Иванович;38,2;7 (999) 111 3456
40702401;igEgxLp9;24;40702401;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 24;Иванов Иван Иванович;47,5;7 (999) 111 3456
40702501;x7XWmmv7;25;40702501;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 25;Иванов Иван Иванович;51,4;7 (999) 111 3456
40702601;F9X4gLkX;26;40702601;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 26;Иванов Иван Иванович;38,4;7 (999) 111 3456
40702702;YRCkdaK4;27;40702702;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 27;Иванов Иван Иванович;39,6;7 (999) 111 3456
40702801;ygv9KppK;28;40702801;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 28;Иванов Иван Иванович;54,4;7 (999) 111 3456
40702901;vNc3LunN;29;40702901;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 29;Иванов Иван Иванович;52,3;7 (999) 111 3456
40703002;XpqxMc3s;30;40703002;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 30;Иванов Иван Иванович;38,1;7 (999) 111 3456
40703103;MwHTEC3i;31;40703103;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 31;Иванов Иван Иванович;38,5;7 (999) 111 3456
40703201;sczoxY3K;32;40703201;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 32;Иванов Иван Иванович;63,5;7 (999) 111 3456
40703301;A7yiXd4x;33;40703301;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 33;Иванов Иван Иванович;55,5;7 (999) 111 3456
40703401;J7dAyCWN;34;40703401;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 34;Иванов Иван Иванович;39,2;7 (999) 111 3456
40703502;yPhze7qi;35;40703502;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 35;Иванов Иван Иванович;38,8;7 (999) 111 3456
40703601;pzf9Ka43;36;40703601;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 36;Иванов Иван Иванович;64,4;7 (999) 111 3456
40703701;PuT3P7CK;37;40703701;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 37;Иванов Иван Иванович;52,3;7 (999) 111 3456
40703802;NHx9igUi;38;40703802;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 38;Иванов Иван Иванович;39,5;7 (999) 111 3456
40703902;3wfMAFR9;39;40703902;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 39;Иванов Иван Иванович;39,4;7 (999) 111 3456
40704001;Pd3UUFMu;40;40704001;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 40;Иванов Иван Иванович;64,8;7 (999) 111 3456
40704101;fxshrC7E;41;40704101;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 41;Иванов Иван Иванович;52,3;7 (999) 111 3456
40704202;aU4LWnK7;42;40704202;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 42;Иванов Иван Иванович;39,9;7 (999) 111 3456
40704301;Tw7hUzvi;43;40704301;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 43;Иванов Иван Иванович;39,7;7 (999) 111 3456
40704402;9YmyzdPC;44;40704402;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 44;Иванов Иван Иванович;63,7;7 (999) 111 3456
40704501;TJX3qTgm;45;40704501;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 45;Иванов Иван Иванович;52,4;7 (999) 111 3456
40704601;aTek4von;46;40704601;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 46;Иванов Иван Иванович;40;7 (999) 111 3456
40704701;rh3oWRRj;47;40704701;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 47;Иванов Иван Иванович;39,6;7 (999) 111 3456
40704802;44ocspoK;48;40704802;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 48;Иванов Иван Иванович;64,1;7 (999) 111 3456
40704901;L4JNfunU;49;40704901;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 49;Иванов Иван Иванович;57,4;7 (999) 111 3456
40705003;AVa9r9if;50;40705003;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 50;Иванов Иван Иванович;41,3;7 (999) 111 3456
40705102;3fEcvVHE;51;40705102;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 51;Иванов Иван Иванович;39,2;7 (999) 111 3456
40705201;d9sxR3ht;52;40705201;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 52;Иванов Иван Иванович;52,8;7 (999) 111 3456
40705301;ay9KNVAA;53;40705301;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 53;Иванов Иван Иванович;56,6;7 (999) 111 3456
40705401;9PHmEnj4;54;40705401;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 54;Иванов Иван Иванович;41;7 (999) 111 3456
40705502;yzvJNma7;55;40705502;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 55;Иванов Иван Иванович;41,1;7 (999) 111 3456
40705601;noRcxcT7;56;40705601;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 56;Иванов Иван Иванович;64,3;7 (999) 111 3456
40705702;PqkL3afR;57;40705702;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 57;Иванов Иван Иванович;57,1;7 (999) 111 3456
40705802;qxAsHk7c;58;40705802;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 58;Иванов Иван Иванович;42,3;7 (999) 111 3456
40705901;scsdiT9H;59;40705901;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 59;Иванов Иван Иванович;41,4;7 (999) 111 3456
40706002;fyAbHqw4;60;40706002;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 60;Иванов Иван Иванович;64,1;7 (999) 111 3456
40706101;7XcFMa3j;61;40706101;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 61;Иванов Иван Иванович;57;7 (999) 111 3456
40706201;qPaPcj4K;62;40706201;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 62;Иванов Иван Иванович;41,9;7 (999) 111 3456
40706302;oAqWFHC7;63;40706302;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 63;Иванов Иван Иванович;42,3;7 (999) 111 3456
40706401;vLqk7xWC;64;40706401;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 64;Иванов Иван Иванович;63,4;7 (999) 111 3456
40706503;wMU3eKUy;65;40706503;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 65;Иванов Иван Иванович;57,4;7 (999) 111 3456
40706601;X7UkexMd;66;40706601;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 66;Иванов Иван Иванович;42;7 (999) 111 3456
40706702;pjLX9Pm3;67;40706702;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 67;Иванов Иван Иванович;41,6;7 (999) 111 3456
40706801;dqUhy9Ac;68;40706801;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 68;Иванов Иван Иванович;65,2;7 (999) 111 3456
40706901;TbCb9taL;69;40706901;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 69;Иванов Иван Иванович;57,7;7 (999) 111 3456
40707002;J7T44qEq;70;40707002;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 70;Иванов Иван Иванович;41,6;7 (999) 111 3456
40707104;pHzjYm4H;71;40707104;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 71;Иванов Иван Иванович;41,7;7 (999) 111 3456
40707202;Ywm7qNEF;72;40707202;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 72;Иванов Иван Иванович;62,7;7 (999) 111 3456
40707301;Y79NJFbz;73;40707301;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 73;Иванов Иван Иванович;54,2;7 (999) 111 3456
40707403;9svzNPeC;74;40707403;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 74;Иванов Иван Иванович;40,5;7 (999) 111 3456
40707501;m9LYxbAb;75;40707501;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 75;Иванов Иван Иванович;40,6;7 (999) 111 3456
40707602;MdMaP7VH;76;40707602;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 76;Иванов Иван Иванович;54,4;7 (999) 111 3456
40707702;RfWc4FnV;77;40707702;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 77;Иванов Иван Иванович;62,2;7 (999) 111 3456
40707802;F3Lu4jgw;78;40707802;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 78;Иванов Иван Иванович;40,2;7 (999) 111 3456
40707901;qj7mPz4K;79;40707901;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 79;Иванов Иван Иванович;38,8;7 (999) 111 3456
40708002;4i4sKUnc;80;40708002;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 80;Иванов Иван Иванович;53,7;7 (999) 111 3456
40708102;ygigJJr9;81;40708102;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 81;Иванов Иван Иванович;62,5;7 (999) 111 3456
40708202;KNRi3hPP;82;40708202;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 82;Иванов Иван Иванович;39,9;7 (999) 111 3456
40708301;o7WepxeV;83;40708301;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 83;Иванов Иван Иванович;39,1;7 (999) 111 3456
40708402;uT7dvs7J;84;40708402;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 84;Иванов Иван Иванович;53,2;7 (999) 111 3456
40708501;saVwH4mq;85;40708501;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 85;Иванов Иван Иванович;63,5;7 (999) 111 3456
40708602;Mo7Vp3wR;86;40708602;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 86;Иванов Иван Иванович;40,2;7 (999) 111 3456
40708702;9mmjoPjU;87;40708702;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 87;Иванов Иван Иванович;38,4;7 (999) 111 3456
40708801;7xyMbE7C;88;40708801;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 88;Иванов Иван Иванович;53,9;7 (999) 111 3456
40708903;NA3FtFqm;89;40708903;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 89;Иванов Иван Иванович;64;7 (999) 111 3456
40709002;YXJ4J9xP;90;40709002;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 90;Иванов Иван Иванович;40;7 (999) 111 3456
40709103;LiV9aRqb;91;40709103;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 91;Иванов Иван Иванович;38,7;7 (999) 111 3456
40709202;Pcp4jNVW;92;40709202;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 92;Иванов Иван Иванович;53,6;7 (999) 111 3456
40709301;4Koyaq7K;93;40709301;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 93;Иванов Иван Иванович;65,1;7 (999) 111 3456
40709402;db3UNUqf;94;40709402;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 94;Иванов Иван Иванович;39;7 (999) 111 3456
40709504;Yjt4AhJK;95;40709504;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 95;Иванов Иван Иванович;38,4;7 (999) 111 3456
40709601;7NpWrMjg;96;40709601;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 96;Иванов Иван Иванович;53,2;7 (999) 111 3456
40709701;bMkr4HJ4;97;40709701;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 97;Иванов Иван Иванович;53,9;7 (999) 111 3456
40709802;ja3wNnTz;98;40709802;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 98;Иванов Иван Иванович;40,7;7 (999) 111 3456
40709901;Two9VPA9;99;40709901;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 99;Иванов Иван Иванович;40,4;7 (999) 111 3456
40710001;b4q4HbXd;100;40710001;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 100;Иванов Иван Иванович;54,9;7 (999) 111 3456
40710102;P733Jpcp;101;40710102;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 101;Иванов Иван Иванович;55,1;7 (999) 111 3456
40710201;fR93mHbg;102;40710201;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 102;Иванов Иван Иванович;37,4;7 (999) 111 3456
40710301;dhv4LXtj;103;40710301;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 103;Иванов Иван Иванович;39,7;7 (999) 111 3456
40710402;7PuEKgEy;104;40710402;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 104;Иванов Иван Иванович;64,7;7 (999) 111 3456
40710501;VXk3NgLd;105;40710501;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 105;Иванов Иван Иванович;52,9;7 (999) 111 3456
40710601;YcwN3Fio;106;40710601;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 106;Иванов Иван Иванович;38,9;7 (999) 111 3456
40710702;LNcHs4qM;107;40710702;413123, обл. Саратовская, р-н Энгельсский, рп. Приволжский, ул. Гагарина, д. 7 кв. 107;Иванов Иван Иванович;39,4;7 (999) 111 3456
